                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2622,                 1.6242,                 1.8918,                      0,                      0,                      0,                      0,                      0,                 73.531,                      0,                  4e-05,                  4e-05,                  4e-05
                      2,                  1.508,                 1.6775,                 2.1774,                      0,                      0,                      0,                      0,                      0,                 73.906,                      0,               9.67e-05,               9.67e-05,               9.67e-05
                      3,                 1.2068,                 1.3761,                 1.9027,                      0,                      0,                      0,                      0,                      0,                 74.047,                      0,             0.00014944,             0.00014944,             0.00014944
                      4,                 1.2429,                  1.297,                 1.9233,                      0,                      0,                      0,                      0,                      0,                 79.406,                      0,             0.00019822,             0.00019822,             0.00019822
                      5,                 1.2547,                 1.4592,                 1.8922,                      0,                      0,                      0,                      0,                      0,                  66.68,                      0,             0.00024304,             0.00024304,             0.00024304
                      6,                  1.162,                  1.335,                 1.8756,                      0,                      0,                      0,                      0,                      0,                 55.211,                      0,              0.0002839,              0.0002839,              0.0002839
                      7,                 1.1801,                 1.3204,                 1.7492,                      0,                      0,                      0,                      0,                      0,                 48.199,                      0,              0.0003208,              0.0003208,              0.0003208
                      8,                 1.1767,                 1.3069,                 1.7874,                      0,                      0,                      0,                      0,                      0,                 47.422,                      0,             0.00035374,             0.00035374,             0.00035374
                      9,                 1.1988,                 1.3555,                 1.8275,                      0,                      0,                      0,                      0,                      0,                 51.855,                      0,             0.00038272,             0.00038272,             0.00038272
                     10,                 1.0495,                 1.2739,                 1.7377,                      0,                      0,                      0,                      0,                      0,                 54.418,                      0,             0.00040774,             0.00040774,             0.00040774
                     11,                 1.0588,                 1.1358,                 1.6541,                      0,                      0,                      0,                      0,                      0,                 58.789,                      0,              0.0004288,              0.0004288,              0.0004288
                     12,                 1.0464,                 1.1525,                 1.5963,                      0,                      0,                      0,                      0,                      0,                 63.363,                      0,              0.0004459,              0.0004459,              0.0004459
                     13,                 1.0032,                 1.1441,                 1.6648,                      0,                      0,                      0,                      0,                      0,                 68.094,                      0,             0.00045904,             0.00045904,             0.00045904
                     14,                 1.0469,                 1.1758,                 1.6561,                      0,                      0,                      0,                      0,                      0,                 67.516,                      0,             0.00046822,             0.00046822,             0.00046822
                     15,                 1.0221,                 1.0912,                 1.6505,                      0,                      0,                      0,                      0,                      0,                 65.934,                      0,             0.00047344,             0.00047344,             0.00047344
                     16,                 1.0151,                 1.1617,                 1.5823,                      0,                      0,                      0,                      0,                      0,                 67.691,                      0,              0.0004747,              0.0004747,              0.0004747
                     17,                 1.0697,                 1.1606,                 1.6897,                      0,                      0,                      0,                      0,                      0,                  66.25,                      0,               0.000472,               0.000472,               0.000472
                     18,                0.98506,                 1.0309,                 1.5741,                      0,                      0,                      0,                      0,                      0,                  67.27,                      0,             0.00046534,             0.00046534,             0.00046534
                     19,                0.97367,                 1.1706,                 1.5917,                      0,                      0,                      0,                      0,                      0,                 69.027,                      0,             0.00045472,             0.00045472,             0.00045472
                     20,                0.86527,                 1.0384,                 1.5173,                      0,                      0,                      0,                      0,                      0,                  69.27,                      0,             0.00044014,             0.00044014,             0.00044014
                     21,                 0.8418,                 1.3364,                 1.5501,                      0,                      0,                      0,                      0,                      0,                 67.973,                      0,              0.0004216,              0.0004216,              0.0004216
                     22,                0.78958,                 1.1614,                 1.4654,                      0,                      0,                      0,                      0,                      0,                 66.113,                      0,              0.0003991,              0.0003991,              0.0003991
                     23,                0.82829,                 1.1746,                 1.5609,                      0,                      0,                      0,                      0,                      0,                 62.285,                      0,             0.00037264,             0.00037264,             0.00037264
                     24,                0.76701,                 1.1304,                  1.397,                      0,                      0,                      0,                      0,                      0,                 56.188,                      0,             0.00034222,             0.00034222,             0.00034222
                     25,                0.80932,                 1.1827,                 1.4712,                      0,                      0,                      0,                      0,                      0,                 49.406,                      0,             0.00030784,             0.00030784,             0.00030784
                     26,                0.76572,                 1.0565,                 1.3999,                      0,                      0,                      0,                      0,                      0,                 43.297,                      0,              0.0002695,              0.0002695,              0.0002695
                     27,                0.73304,                 1.0737,                 1.3631,                      0,                      0,                      0,                      0,                      0,                 38.957,                      0,              0.0002272,              0.0002272,              0.0002272
                     28,                 0.7109,                 1.0544,                 1.3207,                      0,                      0,                      0,                      0,                      0,                 36.883,                      0,             0.00018094,             0.00018094,             0.00018094
                     29,                0.62746,                0.93636,                 1.2569,                      0,                      0,                      0,                      0,                      0,                 36.883,                      0,             0.00013072,             0.00013072,             0.00013072
                     30,                0.67824,                0.98362,                 1.4041,                      0,                      0,                      0,                      0,                      0,                 36.984,                      0,              7.654e-05,              7.654e-05,              7.654e-05
