                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1645,                 1.4314,                0.98324,                0.84117,                0.95256,                  0.995,                0.65971,                 1.2612,                 1.2591,                 1.0267,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                0.97848,                 1.6482,                  1.001,                0.84433,                0.98839,                  0.995,                0.57295,                 1.3284,                 1.2362,                  1.064,             6.1263e-05,             6.1263e-05,             6.1263e-05
                      3,                0.99068,                 1.5269,                0.93226,                 0.8522,                0.97268,                  0.995,                0.56047,                 1.4093,                 1.1884,                 1.0946,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 1.2632,                 1.5307,                 1.0698,                 0.8523,                0.97036,                  0.995,                0.59771,                  1.436,                 1.1755,                 1.0998,             0.00012933,             0.00012933,             0.00012933
                      5,                0.97764,                 1.1977,                0.95846,                0.84542,                0.97288,                  0.995,                0.59772,                 1.4627,                 1.1863,                 1.1038,             0.00016114,             0.00016114,             0.00016114
                      6,                  1.062,                 1.2978,                0.98733,                0.84178,                0.96627,                  0.995,                0.59768,                 1.3774,                 1.2172,                 1.0734,             0.00019146,             0.00019146,             0.00019146
                      7,                 1.0519,                 1.2865,                0.96695,                0.83813,                0.92478,                  0.995,                0.59764,                 1.2316,                 1.2449,                 1.0329,              0.0002203,              0.0002203,              0.0002203
                      8,                 0.9921,                 1.0933,                 0.9278,                0.82553,                0.90743,                  0.995,                0.65989,                 1.2227,                 1.3033,                 1.0636,             0.00024765,             0.00024765,             0.00024765
                      9,                0.90971,                 1.1944,                0.88314,                0.82553,                0.90743,                  0.995,                0.65989,                 1.2227,                 1.3033,                 1.0636,             0.00027352,             0.00027352,             0.00027352
                     10,                0.94681,                 1.3098,                0.94562,                0.83725,                0.90984,                  0.995,                0.62235,                 1.2364,                 1.3253,                 1.0903,              0.0002979,              0.0002979,              0.0002979
                     11,                0.98399,                 1.0825,                0.89449,                0.83725,                0.90984,                  0.995,                0.62235,                 1.2364,                 1.3253,                 1.0903,              0.0003208,              0.0003208,              0.0003208
                     12,                0.94775,                 1.0728,                0.91322,                0.70931,                      1,                  0.995,                0.57267,                 1.3153,                 1.2713,                 1.1175,             0.00034221,             0.00034221,             0.00034221
                     13,                0.93045,                  1.443,                0.90692,                0.70931,                      1,                  0.995,                0.57267,                 1.3153,                 1.2713,                 1.1175,             0.00036214,             0.00036214,             0.00036214
                     14,                 1.0216,                 1.1203,                0.96709,                0.71513,                      1,                  0.995,                0.57268,                 1.3153,                 1.2538,                 1.1147,             0.00038058,             0.00038058,             0.00038058
                     15,                0.95865,                 1.1317,                 0.9123,                0.71513,                      1,                  0.995,                0.57268,                 1.3153,                 1.2538,                 1.1147,             0.00039754,             0.00039754,             0.00039754
                     16,                0.88169,                 1.0451,                0.90536,                0.71513,                      1,                  0.995,                0.57268,                 1.3153,                 1.2538,                 1.1147,             0.00041301,             0.00041301,             0.00041301
                     17,                0.92708,                 1.0199,                0.96526,                0.74015,                0.97636,                  0.995,                0.59763,                 1.3927,                 1.2725,                 1.0951,               0.000427,               0.000427,               0.000427
                     18,                0.72862,                 1.0692,                0.89882,                0.74015,                0.97636,                  0.995,                0.59763,                 1.3927,                 1.2725,                 1.0951,              0.0004395,              0.0004395,              0.0004395
