                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0554,                 1.4273,                 1.0905,                0.77569,                0.96205,                0.91167,                0.59854,                 1.4145,                 1.3193,                 1.2555,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                0.99806,                 1.3265,                 1.0134,                 0.9733,                      1,                  0.995,                0.63434,                 1.4049,                 1.3135,                   1.27,             0.00015408,             0.00015408,             0.00015408
                      3,                 1.0121,                 1.2719,                 1.0014,                 0.9732,                      1,                  0.995,                0.64681,                  1.271,                 1.3924,                 1.1617,             0.00023331,             0.00023331,             0.00023331
                      4,                 1.0065,                 1.2482,                 1.0239,                0.91557,                      1,                  0.995,                0.69657,                  1.184,                 1.1004,                 1.1003,             0.00030915,             0.00030915,             0.00030915
                      5,                0.92895,                 1.0385,                0.95462,                0.87685,                      1,                  0.995,                0.69643,                  1.318,                0.98441,                  1.155,             0.00038159,             0.00038159,             0.00038159
                      6,                0.91639,                 1.0453,                0.99391,                0.93859,                      1,                  0.995,                0.63448,                  1.416,                 1.1124,                 1.2096,             0.00045064,             0.00045064,             0.00045064
                      7,                0.94178,                 1.0357,                0.97325,                0.86902,                      1,                  0.995,                0.57242,                 1.4427,                 1.5561,                 1.2544,             0.00051629,             0.00051629,             0.00051629
                      8,                0.89461,                0.95431,                0.94912,                0.86902,                      1,                  0.995,                0.57242,                 1.4427,                 1.5561,                 1.2544,             0.00057854,             0.00057854,             0.00057854
                      9,                0.96343,                 1.0531,                0.99304,                0.87031,                      1,                  0.995,                0.67184,                 1.3408,                 1.4566,                 1.1843,              0.0006374,              0.0006374,              0.0006374
                     10,                0.87699,                 1.0222,                0.97161,                 0.9412,                      1,                  0.995,                0.72162,                 1.2004,                 1.0565,                 1.0956,             0.00069287,             0.00069287,             0.00069287
                     11,                0.91046,                0.95732,                0.94205,                 0.9412,                      1,                  0.995,                0.72162,                 1.2004,                 1.0565,                 1.0956,             0.00074494,             0.00074494,             0.00074494
                     12,                 0.9194,                 1.0076,                0.99285,                0.96438,                      1,                  0.995,                0.69677,                 1.2164,                0.81483,                 1.0584,             0.00079361,             0.00079361,             0.00079361
                     13,                0.85766,                0.92355,                0.94807,                0.96438,                      1,                  0.995,                0.69677,                 1.2164,                0.81483,                 1.0584,             0.00083889,             0.00083889,             0.00083889
                     14,                0.94367,                0.92447,                0.93624,                0.96438,                      1,                  0.995,                0.69677,                 1.2164,                0.81483,                 1.0584,             0.00088078,             0.00088078,             0.00088078
                     15,                0.92222,                0.99621,                 1.0014,                0.95413,                      1,                  0.995,                 0.6595,                 1.1839,                0.84327,                 1.0805,             0.00091926,             0.00091926,             0.00091926
                     16,                0.92549,                 1.0609,                0.94877,                0.95413,                      1,                  0.995,                 0.6595,                 1.1839,                0.84327,                 1.0805,             0.00095436,             0.00095436,             0.00095436
                     17,                0.77717,                0.95942,                0.94169,                0.97183,                      1,                  0.995,                0.64705,                 1.1444,                0.87271,                 1.0594,             0.00097629,             0.00097629,             0.00097629
                     18,                0.93953,                 0.9828,                 1.0241,                0.97183,                      1,                  0.995,                0.64705,                 1.1444,                0.87271,                 1.0594,               0.000948,               0.000948,               0.000948
                     19,                0.94565,                 1.0157,                0.98126,                0.97183,                      1,                  0.995,                0.64705,                 1.1444,                0.87271,                 1.0594,              0.0009197,              0.0009197,              0.0009197
                     20,                0.84328,                0.83126,                0.93669,                0.95126,                      1,                  0.995,                0.64696,                 1.2252,                0.97678,                 1.1242,             0.00089141,             0.00089141,             0.00089141
