                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0118,                 3.4826,                 1.3698,                      0,                      0,                      0,                      0,                      0,                 50.481,                      0,               0.000175,               0.000175,               0.000175
                      2,                0.84576,                 2.7333,                 1.2071,                      0,                      0,                      0,                      0,                      0,                 54.101,                      0,             0.00035054,             0.00035054,             0.00035054
                      3,                0.86053,                 2.3761,                 1.2582,                      0,                      0,                      0,                      0,                      0,                 48.956,                      0,              0.0005137,              0.0005137,              0.0005137
                      4,                0.82357,                 1.9215,                 1.2033,                      0,                      0,                      0,                      0,                      0,                  48.28,                      0,             0.00066449,             0.00066449,             0.00066449
                      5,                0.82293,                 1.7298,                 1.1559,                      0,                      0,                      0,                      0,                      0,                 88.784,                      0,              0.0008029,              0.0008029,              0.0008029
                      6,                0.89399,                 1.7756,                 1.2534,                      0,                      0,                      0,                      0,                      0,                 72.214,                      0,             0.00092894,             0.00092894,             0.00092894
                      7,                 0.8602,                 1.7807,                 1.2107,                      0,                      0,                      0,                      0,                      0,                 119.94,                      0,              0.0010025,              0.0010025,              0.0010025
                      8,                0.85491,                 1.7431,                 1.2053,                      0,                      0,                      0,                      0,                      0,                 234.96,                      0,             0.00096125,             0.00096125,             0.00096125
                      9,                0.84882,                 1.5637,                 1.1674,                      0,                      0,                      0,                      0,                      0,                 320.21,                      0,                0.00092,                0.00092,                0.00092
                     10,                 0.7783,                 1.6202,                 1.1827,                      0,                      0,                      0,                      0,                      0,                 158.75,                      0,             0.00087875,             0.00087875,             0.00087875
                     11,                0.82767,                 1.6076,                 1.1898,                      0,                      0,                      0,                      0,                      0,                 153.36,                      0,              0.0008375,              0.0008375,              0.0008375
                     12,                0.84958,                 1.5159,                 1.1793,                      0,                      0,                      0,                      0,                      0,                 148.32,                      0,             0.00079625,             0.00079625,             0.00079625
                     13,                 0.7285,                 1.3695,                 1.1143,                      0,                      0,                      0,                      0,                      0,                 161.62,                      0,               0.000755,               0.000755,               0.000755
                     14,                0.78866,                 1.3535,                 1.1293,                      0,                      0,                      0,                      0,                      0,                 207.03,                      0,             0.00071375,             0.00071375,             0.00071375
                     15,                0.79871,                 1.3831,                 1.1768,                      0,                      0,                      0,                      0,                      0,                 283.47,                      0,              0.0006725,              0.0006725,              0.0006725
                     16,                0.73091,                 1.3322,                 1.1157,                      0,                      0,                      0,                      0,                      0,                 190.07,                      0,             0.00063125,             0.00063125,             0.00063125
                     17,                0.80031,                 1.3432,                 1.1607,                      0,                      0,                      0,                      0,                      0,                 121.69,                      0,                0.00059,                0.00059,                0.00059
                     18,                0.70253,                  1.222,                 1.1081,                      0,                      0,                      0,                      0,                      0,                 157.65,                      0,             0.00054875,             0.00054875,             0.00054875
                     19,                0.65649,                 1.1729,                 1.0537,                      0,                      0,                      0,                      0,                      0,                 193.52,                      0,              0.0005075,              0.0005075,              0.0005075
                     20,                0.75528,                 1.3166,                 1.1748,                      0,                      0,                      0,                      0,                      0,                 186.48,                      0,             0.00046625,             0.00046625,             0.00046625
                     21,                0.54936,                 1.3775,                 1.0377,                      0,                      0,                      0,                      0,                      0,                 102.35,                      0,               0.000425,               0.000425,               0.000425
                     22,                0.52538,                 1.5228,                0.98682,                      0,                      0,                      0,                      0,                      0,                 103.42,                      0,             0.00038375,             0.00038375,             0.00038375
                     23,                0.48796,                 1.3677,                 1.0194,                      0,                      0,                      0,                      0,                      0,                    177,                      0,              0.0003425,              0.0003425,              0.0003425
                     24,                0.47013,                 1.2986,                0.95814,                      0,                      0,                      0,                      0,                      0,                  214.3,                      0,             0.00030125,             0.00030125,             0.00030125
                     25,                0.47672,                 1.2286,                0.94989,                      0,                      0,                      0,                      0,                      0,                 186.84,                      0,                0.00026,                0.00026,                0.00026
                     26,                0.46418,                 1.2141,                0.93814,                      0,                      0,                      0,                      0,                      0,                 175.99,                      0,             0.00021875,             0.00021875,             0.00021875
                     27,                0.45556,                 1.2102,                 0.9494,                      0,                      0,                      0,                      0,                      0,                 177.12,                      0,              0.0001775,              0.0001775,              0.0001775
                     28,                0.44227,                 1.1856,                0.94717,                      0,                      0,                      0,                      0,                      0,                 179.33,                      0,             0.00013625,             0.00013625,             0.00013625
                     29,                0.44341,                 1.1546,                0.93754,                      0,                      0,                      0,                      0,                      0,                 179.15,                      0,                9.5e-05,                9.5e-05,                9.5e-05
                     30,                0.45165,                 1.1277,                0.96232,                      0,                      0,                      0,                      0,                      0,                 178.55,                      0,              5.375e-05,              5.375e-05,              5.375e-05
