                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7296,                  2.282,                  2.084,                      0,                      0,                      0,                      0,                      0,                 115.55,                      0,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.4729,                 1.8416,                 1.8734,                      0,                      0,                      0,                      0,                      0,                 119.62,                      0,             0.00013723,             0.00013723,             0.00013723
                      3,                 1.7425,                 1.7568,                 2.3802,                      0,                      0,                      0,                      0,                      0,                 100.95,                      0,             0.00021129,             0.00021129,             0.00021129
                      4,                 1.5577,                 1.7057,                 2.1465,                      0,                      0,                      0,                      0,                      0,                  81.38,                      0,             0.00028218,             0.00028218,             0.00028218
                      5,                 1.3988,                 1.5356,                 1.9346,                      0,                      0,                      0,                      0,                      0,                 63.245,                      0,              0.0003499,              0.0003499,              0.0003499
                      6,                 1.4609,                 1.6512,                 1.9776,                      0,                      0,                      0,                      0,                      0,                 62.771,                      0,             0.00041446,             0.00041446,             0.00041446
                      7,                 1.3327,                 1.5674,                 1.9828,                      0,                      0,                      0,                      0,                      0,                 65.969,                      0,             0.00047585,             0.00047585,             0.00047585
                      8,                 1.3305,                 1.4379,                 1.8697,                      0,                      0,                      0,                      0,                      0,                 71.344,                      0,             0.00053407,             0.00053407,             0.00053407
                      9,                 1.3084,                 1.3654,                 1.8987,                      0,                      0,                      0,                      0,                      0,                 71.396,                      0,             0.00058912,             0.00058912,             0.00058912
                     10,                 1.3065,                  1.508,                  1.902,                      0,                      0,                      0,                      0,                      0,                 67.531,                      0,               0.000641,               0.000641,               0.000641
                     11,                 1.0619,                 1.2467,                 1.5867,                      0,                      0,                      0,                      0,                      0,                  60.75,                      0,             0.00068972,             0.00068972,             0.00068972
                     12,                 1.5271,                 1.8789,                 2.1539,                      0,                      0,                      0,                      0,                      0,                 51.401,                      0,             0.00073527,             0.00073527,             0.00073527
                     13,                 1.1792,                 1.4094,                 1.6203,                      0,                      0,                      0,                      0,                      0,                  54.26,                      0,             0.00077765,             0.00077765,             0.00077765
