                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1245,                  3.857,                0.99526,                0.60263,                0.97492,                0.91167,                0.67177,                 1.1794,                 1.1356,                 1.0641,                  5e-05,                  5e-05,                  5e-05
                      2,                 1.0226,                  3.507,                0.90938,                0.62369,                      1,                0.82833,                0.63842,                 1.2245,                 1.4155,                 1.0818,             0.00011027,             0.00011027,             0.00011027
                      3,                 0.9607,                 3.0708,                0.93269,                0.56931,                   0.75,                0.78667,                0.62181,                 1.2456,                 1.7428,                 1.0665,             0.00016807,             0.00016807,             0.00016807
                      4,                 1.0353,                 2.5982,                0.91034,                0.65572,                   0.75,                0.82833,                0.68814,                 1.1653,                 2.1163,                 1.0061,             0.00022339,             0.00022339,             0.00022339
                      5,                0.99012,                 2.2548,                0.94197,                0.63236,                0.88958,                   0.87,                 0.6839,                 1.2013,                  2.464,                 1.0139,             0.00027624,             0.00027624,             0.00027624
                      6,                 1.1262,                 1.8656,                0.91263,                0.48512,                   0.75,                0.72125,                0.56239,                 1.3624,                 3.0083,                  1.064,             0.00032661,             0.00032661,             0.00032661
                      7,                0.91797,                 1.6239,                0.89349,                0.53472,                0.96026,                0.58042,                0.41488,                  1.293,                  3.248,                 1.0445,             0.00037451,             0.00037451,             0.00037451
                      8,                0.96049,                   1.49,                0.89784,                0.53472,                0.96026,                0.58042,                0.41488,                  1.293,                  3.248,                 1.0445,             0.00041993,             0.00041993,             0.00041993
                      9,                0.93715,                 1.3811,                 0.9064,                0.42587,                0.73822,                 0.4975,                0.36922,                 1.1896,                 3.6118,                 1.0304,             0.00046288,             0.00046288,             0.00046288
                     10,                0.95468,                 1.4946,                 0.9357,                0.50591,                 0.9816,                0.58042,                0.44388,                 1.1759,                 3.3477,                 1.0241,             0.00050335,             0.00050335,             0.00050335
                     11,                0.90326,                 1.4959,                0.92854,                0.50591,                 0.9816,                0.58042,                0.44388,                 1.1759,                 3.3477,                 1.0241,             0.00054135,             0.00054135,             0.00054135
                     12,                 0.9582,                 1.4106,                0.90281,                0.38866,                 0.7433,                0.53067,                0.37962,                 1.2611,                 3.1651,                 1.0368,             0.00057687,             0.00057687,             0.00057687
                     13,                0.86679,                 1.3996,                0.91142,                0.38866,                 0.7433,                0.53067,                0.37962,                 1.2611,                 3.1651,                 1.0368,             0.00060992,             0.00060992,             0.00060992
                     14,                0.85093,                 1.3491,                 0.8749,                0.38866,                 0.7433,                0.53067,                0.37962,                 1.2611,                 3.1651,                 1.0368,             0.00064049,             0.00064049,             0.00064049
                     15,                0.95135,                 1.4491,                0.91533,                0.35386,                 0.7137,                0.53067,                0.36248,                  1.301,                 2.7534,                 1.0387,             0.00066859,             0.00066859,             0.00066859
                     16,                0.91937,                 1.3144,                0.90337,                0.35386,                 0.7137,                0.53067,                0.36248,                  1.301,                 2.7534,                 1.0387,             0.00069421,             0.00069421,             0.00069421
                     17,                0.95235,                 1.3297,                0.92152,                0.35386,                 0.7137,                0.53067,                0.36248,                  1.301,                 2.7534,                 1.0387,             0.00071736,             0.00071736,             0.00071736
                     18,                0.97847,                 1.4487,                0.93053,                0.25688,                0.67885,                0.38525,                0.24149,                 1.3508,                 2.7038,                 1.0468,             0.00073803,             0.00073803,             0.00073803
